- Recover from Injury	- 怪我からの回復
|>67|?R|Wisaka was leery of the expedition, knowing that lycanthropes are often hunted and killed in mainland communities, so he ultimately decided to remain on the island.{LF}{LF}Though he considered going to Hayill, he didn't much care for their ongoing struggle with the Knightwood vampires, so he instead headed for Bracewind and hired on at the Pumphouse Brewery.{LF}{LF}Now he plays music for patrons, earning his way in tips, and occasionally taking adventuresome clients of his own.	|>67|?R|维萨卡对这次远征心存疑虑，他知道狼人在大陆社群中常常遭到猎杀，所以最终决定留在岛上。{LF}{LF}虽然他也考虑过去海伊尔，但对那里与夜林吸血鬼的持续斗争不太感兴趣，于是他转而前往布雷文德，受雇于泵房酿酒厂。{LF}{LF}如今，他为客人们演奏音乐，靠小费谋生，偶尔也接待一些自己找上门的、喜欢冒险的客户。
|>67|?R|Wisaka stayed with you during the conquest of the island, but afterward, when the adventuring gave way to rebuilding and politics, he lost interest.{LF}{LF}He left your company and made way for Hayill in order to be with other lycanthropes, but even that place failed to hold his interest for long.{LF}{LF}Now, you hear people talk from time to time of ”The Howling Bard” who wanders from place to place, meeting new people every day but never content to stay around for long.	|>67|?R|维萨卡在征服岛屿期间一直与你同行，但后来，当冒险被重建和政治所取代时，他失去了兴趣。{LF}{LF}他离开了你的队伍，动身前往海伊尔，想与其他狼人为伴，但即便是那个地方，也没能长久地吸引住他。{LF}{LF}现在，你时不时会听到人们谈论起一位“嚎叫的吟游诗人”，他四处流浪，每天结识新的人，却从不安于在任何地方久留。
|>68|?R|Whether because of his daring or because of his naivete, Wisaka was enthusiastic about the trip to the mainland, and indeed, when he arrived, he made a spectacle of himself almost immediately.{LF}{LF}Unsure how to react at first, a shocked crowd gathered as Wisaka began to sing and play music, and by the time the guards arrived to see what the commotion was, people were cheering and throwing him spare coins.{LF}{LF}He now has a sort of probationary allowance to live and work in town, and he takes full advantage of it, cheerfully socializing with the locals and frequently answering invitations to perform, as curious crowds from far and wide whisper wild rumours of ”The Howling Bard”.	|>68|?R|不知是出于胆大还是天真，维萨卡对前往大陆的旅程充满热情，而实际上，他一到那里就几乎立刻成了众人瞩目的焦点。{LF}{LF}起初人们不知所措，当维萨卡开始唱歌演奏时，震惊的人群聚拢过来。等到卫兵赶来查看骚动时，人们已经在欢呼着向他抛掷零钱。{LF}{LF}他现在拥有一种试用期的许可，可以在镇上生活和工作，他充分利用这一点，愉快地与当地人交往，频繁应邀表演。远近而来的好奇人群窃窃私语，流传着关于“嚎叫诗人”的离奇传闻。
|>68|?R|Wisaka seemed to have no place to fit in once the rebuilding started, but for his fondness of you personally, he stuck around anyway. He talked about going to Hayill from time to time, but never actually packed up and left.{LF}{LF}Once you began receiving foreign dignitaries in your stronghold, however, things began to change. Idly plucking away at his lute one day in court, a visiting noblewoman became absolutely enraptured with him. She immediately contracted the construction of a summer home on the island, and she positively insists on organizing eccentric annual festivals that showcase the varied talents of native Lukattites.{LF}{LF}Opinions of these festivals range from inspired to tasteless, but Wisaka features prominently, and he seems thrilled to be widely known and well-regarded.	|>68|?R|重建开始后，维萨卡似乎无处安身，但由于他个人对你的喜爱，他还是留了下来。他时不时会提到要去海伊尔，但从未真正收拾行李离开。{LF}{LF}然而，当你开始在你的堡垒接待外国使节后，情况开始改变。某天他在宫廷里随意拨弄鲁特琴时，一位来访的贵族妇女完全被他迷住了。她立刻承包了在岛上建造一座避暑别墅的工程，并且十分坚持要组织古怪的年度庆典，以展示本地卢卡特人的各种才华。{LF}{LF}对这些庆典的看法褒贬不一，有的认为富有创意，有的则认为俗不可耐，但维萨卡在其中扮演着重要角色，并且他似乎对自己广为人知且备受赞誉感到欣喜。
|>70|?L|Zantanak cloaked himself in dark cloth and remained your servant and bodyguard once you arrived in Tsarath.{LF}{LF}With his guidance, you were eventually able to find the headquarters of a small cult that you readily impressed into your service.{LF}{LF}He is a constant voice, ever urging you to gather more power, more followers, and more forbidden knowledge.	|>70|?L|抵达萨拉斯后，赞塔纳克身披深色布袍，继续作为你的仆从和保镖。{LF}{LF}在他的指引下，你最终找到了一个小型邪教组织的总部，并轻松地将其收归麾下。{LF}{LF}他时常在你耳边进言，总是敦促你积聚更多的力量、更多的追随者、以及更多的禁忌知识。
|>70|?L|Zantanak remained by your side faithfully and obediently, serving as your bodyguard and advisor continually, as your pact with him demanded.{LF}{LF}Loathe to wear a disguise, he has taken to dressing in regal fineries and making a show of his advisory role, and he seems to take great pleasure in the startled expressions of visiting politicians.{LF}{LF}	|>70|?L|赞塔纳克始终忠实地守在你身边，顺从地作为你的保镖和顾问，正如你与他之间的契约所要求的那样。{LF}{LF}他厌恶伪装，转而穿起华丽的王室服饰，并刻意展示其顾问的角色。他似乎非常乐于见到来访政客们那受惊的表情。{LF}{LF}
|>71|?L|As communities grew and your influence continued to expand, Zantanak seemed to have trouble adapting, and one day asked you where he fit into your plans.{LF}{LF}Since his only obligation to you was to serve as your bodyguard and advisor, during your discussion with him, you determined that he would in fact have time to pursue other interests, and almost immediately, he asked you if he would be allowed to take a wife.{LF}{LF}You granted him permission to wed any woman who would have him, and he seemed satisfied.{LF}{LF}Zantanak has not yet chosen a wife, but seems to appreciate the consideration, and as time passes, he seems to settle more and more. He makes friends, saying he is ”establishing contacts” and tours the stronghold to ”maintain visibility” but it is clear that he is beginning to enjoy his time spent amid mortals.	|>71|?L|随着社区的发展和你影响力的持续扩大，赞塔纳克似乎难以适应。有一天，他问你他在你的计划中处于什么位置。{LF}{LF}由于他对你唯一的义务是担任保镖和顾问，你在与他的讨论中确定，他实际上有时间去追求其他兴趣。他几乎立刻问你，是否允许他娶妻。{LF}{LF}你准许他与任何愿意接受他的女子结婚，他似乎对此感到满意。{LF}{LF}赞塔纳克尚未选定妻子，但似乎很感激这份体谅。随着时间的推移，他显得越来越安定。他结交朋友，说是“建立人脉”，并巡视堡垒以“保持存在感”，但很明显，他开始享受与凡人共处的时光。
|>71|?L|Though he did not relish the idea of covering his face and body, Zantanak put on a low profile once you arrived in Tsarath, and did his best not to cause you undue trouble.{LF}{LF}At his direction, you found the headquarters of a small cult and readily convinced them to serve you, eventually forming a small community where Zantanak hides his face only from outside visitors.{LF}{LF}Eventually, once your commune was well-established, he asked for your permission to take a harem, and seeing that there were several cultists eager to fill the role, you allowed it.{LF}{LF}He is nearly as protective of his wives as he is of you, and he is a much feared, respected, and admired member of your growing faith.	|>71|?L|尽管不情愿遮掩面容和身体，但抵达萨拉斯后，赞塔纳克还是保持低调，尽力不给你带来不必要的麻烦。{LF}{LF}按照他的指示，你找到了一个小型邪教组织的总部，并轻易说服他们为你效力，最终建立了一个小社区，赞塔纳克只对访客隐藏面容。{LF}{LF}最终，当你们的公社稳固后，他请求你允许他建立一个后宫。你看到有几位邪教徒渴望担当此任，便应允了。{LF}{LF}他保护妻妾们的程度几乎如同保护你一样。在你日益壮大的教派中，他是一位令人畏惧、尊敬且钦佩的成员。
|Byrne returned to Frico's service when you left the island.{LF}{LF}He quietly did as he was told for many years thereafter, bringing Frico many guests, some to meet their fortunes, and others to meet their doom.	|当你离开岛屿后，伯恩回到了弗里科手下效力。{LF}{LF}此后多年，他默默遵从命令，为弗里科带来了许多客人，其中有些人得以遇见他们的命运，而另一些人则走向了毁灭。
|You are careful to clearly and fairly spell out the new laws of the land, ensuring that fair, elected courts handle criminal issues, and that everything is carefully recorded and reviewed, with punishments commeasurate to crimes and equal treatment for men, orcs, and natives alike. {LF}{LF}Some rankle under these laws, but you work hard to ensure that they are applied as evenly as possible, and most of the people immigrating from the other nations find the adjustment to be quite straightforward. {LF}{LF}Though some would say that you wasted an opportunity to embrace a new, freer way of life, nobody argues that your reign is not fair.	|你谨慎地制定出清晰公正的新国法，确保由民选的公正法庭处理刑事案件，一切都有详细记录和审查，罚当其罪，且人类、兽人、原住民一律平等。{LF}{LF}虽有人对这些法律不满，但你竭力保证法律执行尽可能公正，大多数来自他国的移民发现适应起来相当顺利。{LF}{LF}或许有人会说，你错失了拥抱更自由新生活的机会，但无人能否认你的统治是公平的。
|You settled in Tsarath quickly, managing to find a quiet place to live somewhere people wouldn't ask a lot of questions.{LF}{LF}Your time spent struggling for survival on the island seemed like a distant nightmare, and the familiar rhythm of calm daily life welcomed you once again.{LF}{LF}	|你很快就在萨拉思安定下来，找到了一个僻静住处，那儿没人会问东问西。{LF}{LF}岛上挣扎求生的日子恍如隔世，平静日常那熟悉的节奏再次将你包围。{LF}{LF}
|Grant returned to Hayill to share in the celebrations over the death of Frico.{LF}{LF}With the vampire lord vanquished, Hayill quickly became the dominant power on the island, and set up a rogue coalition between the most prominent towns.{LF}{LF}Grant is still there, his heroic deed done, watching the development of the island from the front line.	|格兰特回到了海伊尔，参加庆祝弗里克死亡的庆典。{LF}{LF}吸血鬼领主被消灭后，海伊尔迅速成为岛上主导力量，并在主要城镇间建立了盗贼同盟。{LF}{LF}格兰特功成身退，仍留在前线，亲眼见证着岛屿的发展。
|Reluctant to fall into the same pattern that resigned so many people to the island in the first place, your application of law is basic, with a small, publicly elected court that oversees only the most severe forms of crime. {LF}{LF}A great deal of autonomy is given to individual communities to carry out justice in the ways they feel best fit their people, and the island is soon divided into counties, each following slightly different models of law, some more resembling those of Crest, some resembling those of Tsarath, and some a unique mixture of both. {LF}{LF}Most immigrants are able to find a community in which they can feel safe and comfortable, and though the mixture of laws can be confusing for some, the island attracts a wide range of interesting and diverse people.	|你不愿重蹈覆辙——正是旧模式让这么多人困守孤岛，因此法律体系力求精简，仅由民选的小型法庭审理重罪。{LF}{LF}各社区被赋予高度自治权，可按自认最适合的方式执行正义。岛屿很快划分为多个郡，法律模式略有不同：有的类似克雷斯特，有的类似萨拉思，还有的独具特色，融合二者。{LF}{LF}多数移民都能找到令其安心舒适的社区。法律混杂虽令一些人困惑，但岛屿吸引了形形色色的有趣之人。
|Byrne wasn't particularly interested in leaving Lukatt, so when the boat left, he stayed behind.{LF}{LF}He haunts the woodlands of Knightwood still, preying on the wildlife and unsuspecting travelers as it suits him, and relishing his freedom.	|伯恩对离开卢卡特兴趣寥寥，于是船开走时，他留了下来。{LF}{LF}他依然游荡在奈特伍德的林间，随心所欲地捕食野生动物和毫无戒心的旅人，尽情享受自由。
|The lycanthropes of Hayill petition you early on, recognizing your efforts in ridding them of Frico, and pledging their support for your conquest of the island. {LF}{LF}In return, the Alpha asks only that his people be recognized as people, and that they will be welcomed the same as anyone else. It seems a simple enough request, and your relations with Hayill have been good, so you agree.{LF}{LF}So long as the lycanthropes conduct themselves in a civilized manner, their lycanthropy, in and of itself, will not be an offense, and they will not have to hide from the rest of the island.	|海伊尔的狼人们早早向你请愿，认可你铲除弗里克的功绩，并誓言支持你征服全岛。{LF}{LF}作为回报，狼王只求族人被承认为人，能像其他人一样被接纳。这要求看似简单，加之你与海伊尔关系良好，你便同意了。{LF}{LF}只要狼人行为文明，狼人身份本身便不构成罪行，他们也无需在岛上躲藏。
|Your experiences on Lukatt made a return to normal civilian life all but impossible, so you ended up joining a mercenary band in order to prevent yourself from becoming too comfortable.{LF}{LF}Though you still managed to keep a small home near a frontier town, you traveled often, and that life suited you better than putting down roots ever had. Your work afforded you an endless variety of interesting new experiences, and life was never boring.{LF}{LF}	|卢卡特的经历让你难以回归平常百姓生活，最终你加入佣兵团，以免自己过于安逸。{LF}{LF}你在边境小镇附近有个小家，但经常外出奔波。这种生活比安顿下来更合你胃口。工作带来无尽的新鲜体验，人生从不无聊。{LF}{LF}
|With control over Lukatt's seas firmly in your grasp, you are able to send envoys to both the nations of Crest and Tsarath, requesting that they cease their use of the island and recognize your sovereignty. {LF}{LF}Tsarath's King agrees fairly readily, but the King of Crest is not pleased, and he attempts to take Lukatt by force. {LF}{LF}Your mastery of Lukatt's waters, of course, renders his efforts utterly useless. You are able to destroy or seize most of the enemy ships, and Crest quickly agrees to a truce. {LF}{LF}|In a short few years, the island's dangerous monsters have all but disappeared, and Lukatt becomes a bustling hub of trade replete with eager immigrants looking to build and start fresh lives. {LF}{LF}Although many of the island's inhabitants still bear brands upon their necks, in time these marks come to be seen as the marks of pioneers, and not of criminals; people who had, perhaps in the past made mistakes, but who struggled hard to survive and make the most of their setbacks.{LF}{LF}	|牢牢掌控卢卡特海域后，你向克雷斯特和萨拉思两国派出使节，要求他们停止使用该岛并承认你的主权。{LF}{LF}萨拉思国王爽快同意，但克雷斯特国王大为不满，企图武力夺取卢卡特。{LF}{LF}当然，你对该海域的绝对掌控让他的努力徒劳无功。你摧毁或俘获了大部分敌舰，克雷斯特很快同意休战。{LF}{LF}|短短几年内，岛上的危险怪物几乎绝迹，卢卡特成为繁华的贸易中心，挤满了渴望开创新生活的移民。{LF}{LF}尽管许多岛民颈上仍烙有印记，但久而久之，这些标记被视为开拓者的勋章，而非罪犯的烙印；他们或许曾犯过错，却奋力生存，将挫折化为转机。{LF}{LF}
|Thoroughly unsettled by your encounter with heavy-handed justice, your laws are minimal, and communities are left to mostly fend for themselves.{LF}{LF}The island still has a large criminal population, and is widely seen as a land where the convicted can find a second chance at life. This frontier-style governance scares off many who might otherwise find the island attractive, but it means that your population consists of only the hardiest and the bravest, and your people gain a reputation as such. {LF}{LF}Lukatt makes an exciting destination for would-be adventurers and treasure hunters, eager to delve into the countless ruins where monsters still dwell, and submerge themselves in history, gold, or blood.	|粗暴的司法制度让你心有余悸，因此岛上法律极为宽松，社区大多只能自谋生路。{LF}{LF}岛上仍有大量罪犯，被广泛视为有前科者能重获新生的地方。这种边疆式的治理吓跑了许多本可能被吸引而来的人，但也意味着你的居民只由最坚韧勇敢的人组成，他们因此赢得了相应的名声。{LF}{LF}卢卡特对渴望探索怪物盘踞的无数遗迹、沉浸于历史、黄金或鲜血中的准冒险家和宝藏猎人来说，是个激动人心的目的地。
|In the morning, Bato pulls you aside. {LF}{LF}”Got a sec?” he asks.{LF}{LF}”	"|清晨，巴托把你拉到一边。{LF}{LF}“有空吗？”他问道。{LF}{LF}"""
|In the morning, Bato is in much better shape. {LF}{LF}”Thanks again,” he says. ”That's twice now you saved my life. You make a habit of this, and I'll have a hard time paying you back! I've had a thought, though.{LF}{LF}	"|早晨，巴托的状态好多了。{LF}{LF}“再次感谢，”他说，""这已经是你第二次救我了。你要老这么干，我可就难报答你了！不过，我有个想法。{LF}{LF}"
|As you begin taking more and more territory across the island, Frico becomes aggressive, and tries to have you assassinated. {LF}{LF}Your fortune, however, holds fast, and the attempt fails. Eventually, seeing no other choice, you mount a full assault on Frico's castle, and he is killed by your soldiers.{LF}{LF}For all of his posturing and politicking, the castle holds surprisingly little of worth, revealing the vampire to be little more than a bored corpse playing at grandeur. The place is seized by your people and converted into one of your strongholds.	|随着你在岛上占领越来越多的领土，弗里科变得咄咄逼人，试图派人暗杀你。{LF}{LF}然而你福大命大，暗杀未能得逞。最终，别无选择的你对弗里科的城堡发动了全面进攻，他死于你的士兵之手。{LF}{LF}尽管他装腔作势、玩弄权术，城堡里却出奇地没什么值钱东西，暴露出这个吸血鬼不过是个装腔作势的无聊尸体。此地被你的部下占领，并改建为你的一个据点。
|When you arrive, you find	|抵达时，你发现
|When you arrive, you find Zantanak and the others, and he seems unsurprised. ”Welcome back, Master,” he says, bowing. ”As you can see, most of your soldiers have survived. Some are injured, but it is nothing serious.”{LF}{LF}”The creature that did this was Leviathan. I knew of his presence here, but thought it unlikely that he would interfere with your escape. It is most curious.”{LF}{LF}You share your account of the strange temple you found in the grotto, and Zantanak nods his head in understanding.{LF}{LF}”Yes, it would stand to reason that the ancient Lukattites worshipped Leviathan as a kind of God. He is undoubtedly a being of tremendous power, and obviously is aware of our movements, but the question remains as to why he would interfere. I do not have the answers.”{LF}{LF}	|抵达时，你找到了赞塔纳克和其他人，他似乎并不意外。“主人，欢迎回来，”他鞠躬说道。“如您所见，您的大部分士兵都幸存了下来。有些人受伤了，但都不严重。”{LF}{LF}“造成这一切的是利维坦。我知道他在这里，但以为他不太可能干涉你们逃脱。这非常奇怪。”{LF}{LF}你讲述了在洞穴中发现的那座奇异神庙的经历，赞塔纳克会意地点了点头。{LF}{LF}“是的，古代卢卡特人将利维坦奉若神明是合乎情理的。他无疑是拥有巨大力量的存在，并且显然知晓我们的动向，但问题依然在于他为何要干涉。我无法解答。”{LF}{LF}
|By the time the night yields to morning, the only person who hasn't turned up is Logus. You and a few of the others search the beach by daylight, but there is no sign of him at all.{LF}{LF}”He's probably drowned,”	|待到夜幕褪去，黎明降临，唯一没有现身的人只剩下洛格斯。你和另外几个人在白天搜索了海滩，但完全没有他的踪迹。{LF}{LF}“他大概是淹死了，”
|Disgusted with your broken promise, Grant left your company as soon as you made it clear that you would be leaving the island.{LF}{LF}Rather than face the shame of returning to Hayill empty-handed, Grant gathered up a few of his werewolf friends and staged an assault of his own on Frico's castle.{LF}{LF}Many on both sides were slain, including Grant himself, but Frico survived, and declared open war on the island's lycanthropes.{LF}{LF}The Knightwood region is now a deadly warzone, with fangs and claws lashing out from behind every shadow, and until one side is exterminated, it seems likely to stay that way.	|因你违背承诺而感到厌恶，格兰特在你明确表示将离开岛屿后，便立刻离开了你的队伍。{LF}{LF}与其两手空空、蒙羞返回海伊尔，格兰特召集了几位狼人朋友，独自对弗里科的城堡发动了袭击。{LF}{LF}双方都有许多人阵亡，包括格兰特本人，但弗里科幸存了下来，并公开向岛上的狼人族群宣战。{LF}{LF}夜木地区如今成了致命的战场，獠牙与利爪从每个阴影后袭来，在一方被彻底消灭之前，这种局面似乎将持续下去。
Press and Hold F1 for general help	按住 F1 键查看一般帮助
FIGHT improves your melee damage, and helps you cripple and kill your enemies faster.{LF}Improving FIGHT grants 3hp.	战斗提升你的近战伤害，助你更快地重创并消灭敌人。{LF}提升战斗技能可获得 3 点生命值。
Game{LF}Over	游戏{LF}结束
GUARD reduces incoming damage, and makes enemy attacks less effective.{LF}Improving GUARD grants 4hp.	格挡减少所受伤害，并降低敌人攻击的效果。{LF}提升格挡技能可获得 4 点生命值。
LOADING{LF}{LF}Making different choices during your trial can cause a different person to rescue you.	加载中{LF}{LF}在审判期间做出不同选择，可能导致由不同的人来救你。
Parsing map inclusions	正在解析地图包含项
Cycle through party members with TAB, or press 1-4 to select them directly!	使用 TAB 键循环切换队员，或按 1-4 键直接选择！
WARD is used to resist and counter offensive magic, and WARD spells heal and invigorate allies.{LF}Improving WARD grants 3hp.	结界用于抵抗和反击攻击性魔法，结界咒语能治疗并激励盟友。{LF}提升结界技能可获得 3 点生命值。
You can manipulate items, objects, and doors at long distance.{LF}In combat, you and your allies can change equipment on each others' turns.	你可以远距离操纵物品、物件和门。{LF}战斗中，你和盟友可以在彼此的回合更换装备。
Parsing item catalogue	正在解析物品目录
Loading item catalogue	正在加载物品目录
dropped an accessory!	掉落了一件饰品！
is inaccessible.	无法访问。
Loading actors	正在加载角色
Play a chirp when the active character changes	活跃角色改变时播放提示音
Show an arrow when the active character changes	活跃角色改变时显示箭头
Attack{LF}	攻击{LF}
As you tear into it, the voice continues. {LF}{LF}”I have a proposition for you, but first I need to know if you really are what they say you are. {LF}{LF}Tell me, are you really	"当你大快朵颐时，那个声音继续说道。{LF}{LF}""我有个提议给你，但首先我得确认你是否真如他们所言。{LF}{LF}告诉我，你真的"
What you decide to plea influences the availability of party members and personal traits, as well as the player's alignment. Your plea is not necessarily truthful.	你选择的抗辩内容会影响队友的可用性、个人特质以及玩家的阵营倾向。你的抗辩不必是真实的。
You and	你和
You and all your allies' deal additional damage with normal and magical attacks.	你和所有盟友的普通攻击和魔法攻击都会造成额外伤害。
comes to see you.{LF}{LF}”	前来见你。{LF}{LF}”
The base damage of spells cast against you is reduced by a random amount. {LF}This can reduce the spell to zero damage.	对你施放的魔法基础伤害会随机降低。{LF}有时甚至能将伤害降至零。
Your Band has no Stronghold!	你的团队没有据点！
Most of the people you counted among your band went their separate ways.{LF}{LF}	你团队中的大部分人已经各奔东西。{LF}{LF}
Gain additional maximum hit points equal to your level.{LF}Food is twice as effective for you.	最大生命值增加相当于你等级的点数。{LF}食物对你效果翻倍。
What is the character of your response?	你作何回应？
You need to gain some experience before your stronghold service providers will appear.	你需要积累一定经验后，据点的服务人员才会出现。
Choose your personality.	选择你的性格。
What is the truth of your guilt?	你罪行的真相是什么？
Your crime shall afford you much time to consider your actions. Five years of your life shall be paid in penance.	你的罪行将让你有足够时间反省自己的行为。你需用五年光阴来赎罪。
Whenever your spells deal damage to an enemy, you regenerate hit points {LF}equal to a portion of the damage.	当你的魔法对敌人造成伤害时，你会恢复相当于部分伤害的生命值{LF}。
The primary target of your spells gain lingering ailments. {LF}You can also energize allies to heal them and grant enhancing effects.	你的魔法主要目标会获得持续异常状态。{LF}你还能为盟友注入能量，治疗他们并赋予增益效果。
Your spells generate considerably less risk than before and can be cast at shorter range.	你的魔法风险大幅降低，且施法距离缩短。
Record your likeness	记录你的容貌
Your mind is far more vast than any of the simpletons who call you insane could realize. {LF}You deal extra damage with magical attacks.	你的心智远比那些称你为疯子的蠢材所想的更为广博。{LF}你的魔法攻击造成额外伤害。
Your loyalties lie with you alone. You take less damage from physical attacks.	你只忠于自己。物理攻击对你造成的伤害减少。
Your instincts sometimes get the better of you, but they fuel you endlessly. {LF}You regenerate a small amount of hit points each turn.	你的本能有时会失控，但也为你提供了无尽动力。{LF}每回合恢复少量生命值。
Your innocence is a source of strength. You receive a bonus to your maximum hit points.	你的清白是力量的源泉。你的最大生命值获得加成。
State your name.	报上你的名字。
You are resistant to Lux, but take additional damage from Max and Pox. {LF}Your natural magic is Luxus instead of Arcus.	你对光耀有抗性，但受极效和腐疫的伤害增加。{LF}你的天赋魔法是光耀术而非奥术。
You are resistant to Nix, but take additional damage from Max and Rex. {LF}Your natural magic is Nixus instead of Arcus.	你对寒蚀有抗性，但受极效和裂解的伤害增加。{LF}你的天赋魔法是寒蚀术而非奥术。
You have been accused of gracelessly offending your dignity and that of your kin. {LF}{LF}What say you to these charges?	你被指控无耻地侮辱了你本人及亲族的尊严。{LF}{LF}对这些指控你有何辩解？
You know how to work almost any situation to your advantage. {LF}You score critical hits more often.	你懂得如何将几乎任何局面转为己用。{LF}你更易打出致命一击。
You have been accused of peddling false the healer's trade. {LF}{LF}What say you to these charges?	你被指控贩卖伪劣的治疗物品。{LF}{LF}对这些指控你有何辩解？
You know how to stuff your purse, legitimately or otherwise. {LF}You gain a small amount of money when attacking enemies.	你深谙敛财之道，无论合法与否。{LF}攻击敌人时获得少量金钱。
You have been accused of cheating your countrymen out of their hard-earned coin. {LF}{LF}What say you to these charges?	你被指控骗取同胞的血汗钱。{LF}{LF}对这些指控你有何辩解？
You have been accused of forcing yourself upon your countrymen. {LF}{LF}What say you to these charges?	你被指控对同胞施以暴行。{LF}{LF}对这些指控你有何辩解？
You have been accused of advantaging your countrymen in their time of need. {LF}{LF}What say you to these charges?	你被指控在同胞危难时趁火打劫。{LF}{LF}对这些指控你有何辩解？
You have no respect for any so-called 'God' and you defy the supernatural. {LF}You take less damage from magical attacks.	你蔑视一切所谓“神明”，并抗拒超自然力量。{LF}魔法攻击对你造成的伤害减少。
You pick your way across the crags to the mouth of the cave, with your zombie servant shuffling along behind.	你择路穿过峭壁来到洞穴入口，僵尸仆从蹒跚跟在身后。
You are in a great deal of pain.	你正承受着巨大的痛苦。
You are resistant to Pox, but take additional damage from Lux and Rex. {LF}Your natural magic is Poxus instead of Arcus.	你对腐疫有抗性，但受光耀和裂解的伤害增加。{LF}你的天赋魔法是腐疫术而非奥术。
You are resistant to Max, but take additional damage from Lux and Nix. {LF}Your natural magic is Maxus instead of Arcus.	你对极效有抗性，但受光耀和寒蚀的伤害增加。{LF}你的天赋魔法是极效术而非奥术。
You are resistant to Rex, but take additional damage from Nix and Pox. {LF}Your natural magic is Rexus instead of Arcus.	你对裂解有抗性，但受寒蚀和腐疫的伤害增加。{LF}你的天赋魔法是裂解术而非奥术。
You have been accused of magicking the restful dead to your will. {LF}{LF}What say you to these charges?	你被指控用魔法操纵安息的死者。{LF}{LF}对这些指控你有何辩解？
You must repent, and pray that God forgives your sin. You shall be sequestered for five years' time.	你必须忏悔，祈求上帝宽恕你的罪过。你将被隔离禁闭五年。
You have been accused of producing false documents. {LF}{LF}What say you to these charges?	你被指控伪造文书。{LF}{LF}对这些指控你有何辩解？
You have been accused of conspiring against your sovereign. {LF}{LF}What say you to these charges?	你被指控密谋反抗君主。{LF}{LF}对这些指控你有何辩解？
You have been accused of vacating your shield upon the frontier. {LF}{LF}What say you to these charges?	你被指控在边境擅离职守。{LF}{LF}对这些指控你有何辩解？
You have been accused of inciting chaos and public mayhem. {LF}{LF}What say you to these charges?	你被指控煽动骚乱和公共混乱。{LF}{LF}对这些指控你有何辩解？
You have no respect for anything weaker than you. {LF}Your critical hits are more deadly.	你对任何弱于你的事物都毫无敬意。{LF}你的致命一击更加致命。
You have been accused of treachery against the Sovereign Crown. {LF}{LF}What say you to these charges?	你被指控背叛王权。{LF}{LF}对这些指控你有何辩解？
You have been accused of damaging the property of your Sovereign Lord. {LF}{LF}What say you to these charges?	你被指控破坏君主财产。{LF}{LF}对这些指控你有何辩解？
You are a threat to your kin and country, and death shall be your sentence.	你是亲族与国家的威胁，判处死刑。
You have been accused of turning your eyes away from your Holy Lord. {LF}{LF}What say you to these charges?	你被指控背弃你的圣主。{LF}{LF}对这些指控你有何辩解？
You have been accused of speaking in defiance of your Holy Lord. {LF}{LF}What say you to these charges?	你被指控对圣主出言不逊。{LF}{LF}对这些控诉你有何辩解？
You have been accused of violating sacred ground. {LF}{LF}What say you to these charges?	你被指控亵渎圣地。{LF}{LF}对这些指控你有何辩解？
You escaped from the stocks. |	你挣脱了脚镣。|
You have been accused of unclean copulation with your countrymen. {LF}{LF}What say you to these charges?	你被指控与同胞行不洁之交。{LF}{LF}对这些指控你有何辩解？
You have been accused of plying false coin upon your countrymen. {LF}{LF}What say you to these charges?	你被指控向同胞流通伪币。{LF}{LF}对这些指控你有何辩解？
You have been accused of burgling your countrymen's possessions and coin. {LF}{LF}What say you to these charges?	你被指控盗窃同胞财物与钱币。{LF}{LF}对这些指控你有何辩解？
You have been accused of lighting aflame your countrymen's property. {LF}{LF}What say you to these charges?	你被指控纵火焚烧同胞财产。{LF}{LF}对这些控诉你有何辩解？
You have been accused of trafficking your countrymen as fodder. {LF}{LF}What say you to these charges?	你被指控将同胞当作牲口贩卖。{LF}{LF}对这些指控你有何辩解？
You have been accused of threatening your countrymen for coin. {LF}{LF}What say you to these charges?	你被指控为勒索钱财而威胁同胞。{LF}{LF}对这些指控你有何辩解？
You have been accused of attacking and robbing your countrymen. {LF}{LF}What say you to these charges?	你被指控袭击并抢劫同胞。{LF}{LF}对这些控诉你有何辩解？
You have been accused of devouring your own kind. {LF}{LF}What say you to these charges?	你被指控吞食同类。{LF}{LF}对这些指控你有何辩解？
You have been accused of unerhandedly manipulating your countrymen. {LF}{LF}What say you to these charges?	你被指控暗中操纵同胞。{LF}{LF}对这些控诉你有何辩解？
You have been accused of violently attacking your countrymen. {LF}{LF}What say you to these charges?	你被指控暴力袭击同胞。{LF}{LF}对这些控诉你有何辩解？
You have been accused of abducting your countrymen. {LF}{LF}What say you to these charges?	你被指控绑架同胞。{LF}{LF}对这些指控你怎么说？
You step out of the cell and into the hallway. {LF}{LF}	你走出牢房，进入走廊。{LF}{LF}
You are taken back to your cell, where you are held down by several guards as your neck is burned with hot iron. {LF}{LF}You are forever branded	你被押回牢房，数名守卫将你按住，用烙铁烫灼你的脖颈。{LF}{LF}你被永远烙上了印记。
You have been accused of consorting with unclean orcfolk. {LF}{LF}What say you to these charges?	你被指控与不洁的兽人勾结。{LF}{LF}对这些控诉你有何辩解？
You have been accused of unholy worship. {LF}{LF}What say you to these charges?	你被指控进行邪恶崇拜。{LF}{LF}对这些控诉你有何辩解？
